ရဲသာရွာသစ်၊ သားရိုး|yethar ywarthit, tharyoe
သခွတ်တန်းအုပ်စု၊ နတ်တလင်းမြို့|Thakhutan Group, Natalin City
အရှေ့ချောင်းနားရွာ၊|Ashay Chaung Nar Village ,
ဝါးခယ်မမြို့နယ်|Wakelma Township
ဝဲကြီးရွာ|Welgyi Village
ရပ်ကွက်၊ ရွှေတောင်မြို့|Ward, Shwe Taung City
အင်ကြင်းခင်လမ်း၊ ကြာနီကန်|Ingyinkhin Street, Kyarnikan
မြစ်သားမြို့နယ်|Myitthar Township
နွားကူးလေး တောင်ရွာ|Nwarkukay south Village
သာစည်မြို့နယ်|Tharsi Township
ဝမ်းသာကျေးရွာ|Wanthar Village
ပန်းတောင်းမြို့|Padaung City
ကျွဲရဲရွာ|Kwelye Village 
ဇမ္ဗူသီရိမြို့|Zabuthiri City
မင်္ဂလာသိဒ္ဓိရပ်ကွက်၊|Mingalar Thaiddi Ward,
ရပ်ကွက် (၂)၊ မန်ကန်|Ward (2) Mankan
အုပ်စု၊ ကြံခင်းမြို့နယ်|Group, Kyangin Township
မင်းဘဲလေးရွာ၊ သဲဖြူ|Minbelay Village, Thephyu
၂၃/က (၅)လမ်း|23/ka (5) street
မြို့သစ်(က+ဆ) အင်းစိန်|myoethit (ka+sa) insein
ရန်ကင်းရပ်ကွက်|yankin ward
မုံရွာမြို့|monywa city
ဂုံမင်းခုန်ရွာ|gon min khone village
ပေါက်ခေါင်းမြို့|pauk khaung city
ဘုရားငုတ္တို ရှမ်းစု|phayarngoteto shansu
ကျေးရွာအုပ်စု၊ မြောင်းမြမြို့| village group, myaungmya city
ကူနီရွာ၊ အလယ်ရွာအုပ်စု|kuni village, ahlelywar group
နတ်မောက်မြို့နယ်|nattmouk township
တံတားဦး၊ နောင်လုံ ၊|tadaroo< anunglon ,
နောက်၊ ဘားအံမြို့နယ်|nouk, hpa-an township
ညောင်လှ၊ ရန်ကင်းရပ်|nyaung hla, yankin yat
ရေနံချောင်းမြို့|yay nang chaung city
အောင်ဇေယျ(၂၁)၊ အောင်မြင်|aungzayya(21), aungmyin
ကျောက်တံခါးမြို့နယ်|kyauktaga township
အောင်မင်္ဂလာ (၉) လမ်း|aungmingalar (9)street
ရှမ်းစုရပ်ကွက်၊ တိုက်ကြီး|shansu ward, tikekyi
ညောင်လန်းကျေးရွာ|nyaunglan village
ခရမ်းမြို့နယ်|khayan twonship
၁၃ - ရပ်ကွက် ။|13 - Ward .
၂၇၄ (က) ကျောင်းလမ်း|274 (Ka) Kyaung Street
(၁) ရပ်ကွက်၊ အုတ်တွင်း|(1) Ward, Oketwin
ညောင်ခြေထောက်|Nyaung Chay Htauk
ဝါးရုံပင်ရွာ|War yonepin Village
မင်္ဂလာဒုံ|Mingalardon
လေးထောင့်ကန်၊ ရွှေနံ့သာအုပ်စု|Lay Htaunt Kan, Shwe Nanthar Group
အောင်သပြေ ၁/ က|Aung Thabway 1/ Ka
မုံကမ်းရွာ|Monkam Village
ကျောက်ပန်းတောင်းမြို့|Kyaukpadaung City
လားရှိုး|Lasio 
ဆုံကွယ်ကျေးရွာအုပ်|Sone Kwel Village Oke
ပေါက်ခေါင်းမြို့နယ်|Paukkhaung Township
ညောင်ကုန်းရွာ၊|Nyaungkone Village,
ဟိုင်းကြီးကျွန်းမြို့|Hainggyikyun City
ရွာသစ်ကျေးရွာ|Ywarthit Village
စဥ့်ကူးမြို့နယ်|Sinku Township 
ရွာသစ်ကလေး|Ywarthitkalay
ငဖြူချောင်းရွာ|nga phyu chaung village
သာယာဝတီမြို့|tharrawaddy city
သကျင်အမှတ်- ၅|thakyin no-5
ငါးဇွန်မြို့နယ်|ngazun township
ပန်းခွာရွာ|pannkhwar village
ကျောက်ဆည်|kyaukse
သိမ်တောင်ရပ်ကွက်|theintaung ward
တောင်ကုတ်မြို့|taungkok city
၁၀/၆၆ နီလာလမ်း၊ |10/66 nilar street
နမ(၅)၊ ဘုရားဖြူရပ်၊ တောင်ကြီးမြို့|nama(5), phayarphyu yat, taunggyi city
လောပိတ(ရှမ်း)ရွာ|lawpita (shan) village
လွိုင်ကော်မြို့|loikaw city
ဟံဂံရွာ|hangan village
ရေးမြို့နယ်|ye township
၆ ရပ်ကွက်|6 ward
မအူပင်မြို့|maubin city
ကသဲကုန်းရွာ|kathaekone village
မြစ်သားမြို့နယ်|myittha township
နမ့်တီးရွာ၊ နမ့်တီးအုပ်စု|namtee village, namtee group
နမ့်ခမ်းမြို့နယ်|namkham township
စလူချောင်းရွာ၊ရွှေကျင်|Sa Luu Chaung Village, Shwe Kyin
မြို့နယ်|Township
စည်ပင်သာရွာ၊ မိတ္ထီလာ|sipinthar village, meiktila
၄ ရပ်ကွက်|4 ward
မအူပင်မြို့|maubin city
နတ်တာရွာ|nattar vilage
ကန်းမြို့နယ်၊ မကွေင်းတိုင်း|kan township, magway division
သင်္ချီကုန်းကျေးရွာ|thinchikone village
တောင်ကုတ်မြို့နယ်|taungkok township
ယွန်းဒလင်းကုန်းကျေးရွာ|yondalinkone village
ဘီးလင်းမြို့|bilin city
ရပ်ကွက်(၁)|ward (1)
နမ့်ဆန်မြို့|namsang city
စသိန်းရွာ|sathein village
ပေါက်မြို့နယ်|pauk township
မျှင်ဝါးကုန်းရွာ|myinwarkone village
ကြာအင်းဆိပ်ကြီးမြို့နယ်|kyainseikgyi twonship
ရပ်ကွက် (၈) ၈/၁၆|ward (8) 8/16
အေးသာယာ, တောင်ကြီး|ayetharyar, taunggyi
၉၄(B) ဦးရွှေမှန်(၂)လမ်း|94(B) ushwemhan (2 )street
မုန့်/မြောက် ရပ်ကွက်|moh/myouk ward
လက်ပံဇင်၊ မိမ္မပြေး|latpanzin, mainmapyay
ပန်းတနော်|pantanaw
သိမ်ကုန်းရပ်ကွက်|Thein Kone Ward
မုဒုံမြို့နယ်|Mu Don Township
ပိုရွာ|po village
ပျော်ဘွယ်မြို့နယ်|pyawbwe township
ကံကြီးလမ်း၊ မအူကုန်း|kangyi street, maukone
ရပ်ကွက်၊ လက်ပံတန်းမြို့|ward, latpantan city
ခမရ (၁၁၃)|KhaMaYa(113)
မိတ္ထီလာမြို့|meiktila city
ခရမ်း၊ ရွာမ|khayan, ywarma
မော်လမြိုင်ကျွန်း|mawlamyaingkyon 
အောင်သုခရွာ၊ ရွှေ|aungthukha village, shwe
လင်းဆွဲအုပ်စု၊ မြိုင်|linswae group, myaing
ပျဉ်ချဆိပ်ကျေးရွာ|pyinchasake village
ကျုံးပျော်မြို့နယ်|kyonpyaw township
လွယ်အွန်ရွာ|lwelon village
ကွတ်ခိုင်မြို့|kutkaing city
ရွာမ-၂၊ ချောင်းတွင်း|ywarma-2, chaungtwin
ဖျာပုံမြို့နယ်|pyapon twonship
အင်းမအုပ်စု|innma group
မအူပင်မြို့|maubin city
စ.ရ.တ၊ အမ်း|Sa.Ya.Ta , ann
ဆပ်ခင်းရွာ|satkhin village
ဝမ်းတွင်းမြို့နယ်|wundwin township
ဘာဘူကုန်းကျေးရွာ|barbukone village
ကျိုက်မရောမြို့နယ်|kyikemayaw township
တမဲကြီးကျေးရွာ|tamegyi village
ခရမ်းမြို့|khayan city
မြစန္ဒာလမ်း၊ မြို့မ (၂)|myasandar street, myoema(2)
မုဒုံမြို့|mudon city
တောင်တောရွာ|taungtaw village
ညောင်ဉီးမြို့နယ်|nyaung-u township
တောင်ယာတောရွာ အုပ်စု|taungyartaw village group
နတ်တလင်းမြို့|nattalin city
အုန်းတောရွာ၊ ပကွဲ|ohntaw village, pakwae
အုပ်စု၊ ဇလွန်မြို့|group, zalon city
ထန်းပင်ကုန်းရွာ|htanpinkone village,
စီးနင်းကံအုပ်စု၊ တိုက်ကြီးမြို့|seninkankone group, tikekyi city
အိမ်တိုင်ပုံရွာ|eaintaingpon village
ကောလင်းမြို့|kawlin city
သဖန်းပင်ရွာ|thaphanpin village
ဖြူမြို့|phyu city
ကိုင်း|kaing
ကျောက်ပန်းတောင်းမြို့|kyaukpadaung city
မိုးညှင်းမြို့|Mohnyin City
ပင့်သာရွာ|Pintthar Village
ဂျို့ကုန်းရွာ၊ သောင်ရွာအုပ်စု|Gyogone Village, Thaungyar Group
ကျောက်ကြီးမြို့|Kyaukgyi City
သံဘိုရွာ|Thanbo Village
ကွမ်းခြံကုန်းမြို့နယ်|Kyunchangone Township
ဝက်တိုက်ရွာ|Wettike Village
ကော့မှူးမြို့နယ်|Kawhmu Township
မြိုကုန်းကျေးရွာ|Myokone Village
ပျော်ဘွယ်မြို့နယ်|Pyawbwe Township
ပင်းစုရွာ|Pinsu Village
အုပ်စု၊ ဆီဆိုင်မြို့|Group, Sesei City
စိန်ဖြီးနားရွာ၊ တောင်ဝှေ့|Seinphyna Village, Taungwe
ချောင်းဆုံမြို့|Chaungzon City
၈- ကော့မုပွန်ကျေးရွာ|8- Kawmupon Village
အုပ်စု၊ တိုက်ကြီးမြို့နယ်|Group, Taikkyi Township
ကလူပိုင်းရွာ၊ ပန်းပင်တန်း|Kalupine Village, Panpintan
လေးမျက်နှာမြို့နယ်|Lemyethnar Township
ဘိုသလွန်ရွာ၊|Bo Thalon Village,
ထိန်ပင်စုရွာ၊ ကျုံသွတ်|hteinpinsu village, kyonthut
အုပ်စု၊ မြောင်းမြမြို့|group, myaungmya city
ကျင်းရွာ၊ မလှိုင်|kyin village, mahlaing
ကြိုးပင်စုရွာ၊ ကြိုးပင်စု|kyoepinsu village, kyoepinsu
အုပ်စု၊ ကြံခင်းမြို့နယ်|group, kyankhin township
ကညင်ကုန်းကြီးရွာ|kanyinkonegyi village
အိမ်မဲမြို့နယ်|eainme township
ခရမ(၄၄၀)|KhaYaMa(440)
ဒိုက်ဦးမြို့နယ်|dikeoo township
ကြို့ကုန်းရွာ၊ အကယ်ကြီး ကြို့ကုန်း|koyekone village, ahkelgyi koyekone
အုပ်စု၊ ရေကြည်မြို့နယ်|group, yekyi township
ဂျာအင်ယန်ရွာ|jarinyan village
ဒေါ့ဖုန်းယန်မြို့|Dawhpumyang city
သရက်တန်းရွာ|Tha Yatt Tan Village
မိတ္ထီလာမြို့နယ်|Meik Hti Lar Township
တူမောင်ကျေးရွာ|tumaung village
ကျောက်တံခါးမြို့နယ်|kyauktaga township
ကသဲကုန်းကျေးရွာ|kathaekone village
သနပ်ပင်မြို့|thanatpin city
ကဇက်ကျေးရွာ|kazat village
ရွာငံမြို့နယ်|ywarngan township
လှည်းကူးမြို့နယ်|Hlegu Township
ဇီးပင်ဝဲကျေးရွာ၊|Zee Pinwe,
အုပ်စု၊ စလင်းမြို့နယ်|Group, Salin Township
ရွာသာကုန်းရွာ၊ ရေကြည်|Ywar Thar Gone Village, Yegyi
တွင်းအုပ်စု၊ ကြံခင်းမြို့နယ်|twin Group, Kyangin Township
သံပုရာကွင်းရွာ၊ အုတ်|Thanpaya Kwin Village, Oke
ပန်းတောင်းမြို့|Padaung City
ကပစ ၃ ဆင်တဲ|KaPaSa 3 Sinte
ရွာသစ်အုပ်စု|Ywarthit Group
သံပုရာခုံ၊ မြောက်နဝင်း|Thanpayakon, Myauk Nawin
ကျုံပျော်မြို့နယ်|Kyonpyaw Township
ကွင်းဘောလေးရွာ|Kwin Bawlay Village
လမိုင်းမြို့|Lamine City
ကုလားကုတ်အောက်ဆိပ်ရွာ၊|Kalakote Outseik Village,
သာစည်မြို့နယ်|Tharsi Township
မုံပင်ဆုံကျေးရွာ|Monpinsone Village
နတ်ကန်လည်ရွာ|natkanlel village
ကျောက်ပန်းတောင်းမြို့။|kyaukpadaung city.
တဆရ(၂/၁၀၀)|TaSaYa (2/100)
ဘားအံမြို့|Hpa-an city
ကော့ခလိန်းရွာ|kokkhalain village
ကျိုက်မရောမြို့|kyikemayaw city
အုပ်စု၊ အုတ်ဖိုမြို့|group, okpho city
စမ်းကလေးရွာ၊ ရှမ်းကုန်း|sankalay village, shankone
ဆူးပုတ်ပျဉ်းတောရွာ|suepoatpyintaw village
